功效,组成,适应证,按语,方源,制作,药名,编号,分类
凉血止血。,柿叶不拘量，绿茶适量。,肺结核咯血，支气管扩张咯血，痰中带血，胃溃疡出； 血以及便血，尿血，子宫出血，紫癫等各种出血病证。,"柿叶为柿科植物柿的叶片,《本草再新》认为其“味苦， 性寒,无毒。专入肺经。治咳喘，肺气胀，各种内出血，治咳嗽吐血， 止渴生津”。现代药理研究表明其含有芦丁、胆碱、蛋白质、无机盐、 糖等成分。而更可称道的是6—10月的鲜柿叶中含有丰富的维生素 C,含量多达柠檬的20倍。绿茶，色泽绿润、香气清爽、滋味香醇。绿 茶性偏凉，味苦、微甘、涩，有消食下气、生津止渴、通利小便等作用。 柿叶止血茶喝起来感觉很清新温润，带有熟悉的青草味，有凉血止血 之功。此外柿叶含有降血压的成分，此药还是抗高血压的良方。此 茶每日饮用2~3次。",经验方。,"柿叶洗净晒干（以秋季自然脱落者较好），研细末，瓷罐 备贮。每次取上末6 g,以茶叶煎汁，候冷送服。",柿叶止血茶,300,内科-肺结核
润肺止咳，涩肠止血。,"柿饼6个，茶叶5 g,冰糖15 g。","肺虚咳嗽,肺结核痰中带血等。","柿饼味甘性寒，具有润肺、止血、健脾、涩肠的功效，主 治脾虚消化不良、泄泻。柿饼上的柿霜也具有清热润燥、化痰止咳的 功效。我国历代医学家对柿子的作用多有著述，南朝陶弘景所著《名 医别录》中说:“柿有清热、润肺、化痰止咳之功。”《本草纲目》也记载: “柿乃脾肺血分之果也,其味甘而气平，性涩而能收，故有健脾、涩肠、止血之功。”该茶有润肺止咳，涩肠止血之功。每日1剂，不拘时饮 服,食汤和柿饼。但脾胃虚寒、痰湿内盛者不宜饮用。",《茶叶实用知识》。,柿饼与冰糖加水少量，置罐内炖烂;将茶叶以沸水冲泡 5分钟后取汁，和入柿饼内即可。,柿茶,301,内科-肺结核
"清热凉血,止血。","藕节5个，白茅根30 g,白糖适量。","肺热火盛，灼伤血络所致的咯血,如肺结核咯血、支气管扩张咯血等病证。","藕节味甘涩性平，入手少阴，足阳明、厥阴经，具有止血、 散瘀之功效。《本草汇言》言:“藕节,消瘀血，止血妄行之药也。”白茅 根有清火生津、凉血止血等功效。《本草图经》云:“茅根,今处处有之。 春生芽，布地如针，俗间谓之茅针,亦可啖，甚益小儿。夏生白花，茸茸",《常见药用食物》。,将藕节与白茅根洗净，放置锅内，加水煮沸20分钟后， 将汁倒入盛有白糖的碗内，冲开水即可饮服。,茅根藕节茶,302,内科-肺结核
开胃健脾，清热保津。,耳环石斛30 g。,热病伤津及阴虚津亏而有虚热的病证。,"石斛味甘,性微寒，入胃、肺、肾经。《神农本草经》将其 列为上品，指出石斛具有生津、止渴、镇痛、消除水肿的功效,清代名 医赵学敏编著的《本草纲目拾遗》中赞石斛为“滋阴补益珍品”。石斛",《本草纲目拾遗》。,将上药放入锅内水煎，代茶饮之。,石斛茶Ⅰ,303,内科-肺炎
益胃生津，清热养阴。,"石斛5 g,绿茶3 g。",热病伤津所致口干烦渴等，病后虚热。,"石斛具有解热镇痛、益胃生津、养阴清热的作用。煎 服,6?15 g；鲜用15?30 g,入汤剂宜先煎。另外，本品还有明目及强 腰膝功效。注意:温热病不宜早用，湿温尚未化燥者忌服。",经验方。,用200 ml开水冲泡后饮用。可加冰糖。,石斛茶Ⅱ,304,内科-肺炎
清热生津。,梨汁、荸荠汁、藕汁（或蔗汁）、麦冬汁、鲜苇根汁酌情 适量。,高热灼伤津液而引起的口渴较甚，或吐白沫而黏滞 不爽。,方中梨汁具有润肺止咳、清热解暑、健脾解毒、清咽润 喉的功效。荸荠汁清热止渴、利湿化痰、降血压，它所含的荸荠素对 金黄色葡萄球菌、大肠杆菌及铜绿假单胞菌有抑制作用；藕汁性 寒，甘凉入胃，可消瘀凉血、清烦热，止呕渴。麦冬汁在《本草衍 义》中有记载：“治心肺虚热。”鲜苇根汁清热生津、除烦止呕。五 味药汁共奏清热生津之效。注意：此品性寒，脾胃虚寒，大便溏者 禁用。,《温病条辨》。,将五味药汁搅匀。不拘时，凉饮。如不甚喜凉者，可重 汤煨之，代茶温饮。,五汁茶,305,内科-肺炎
"清热养阴,解毒。","天门冬5 g,板蓝根3 g,绿茶3 g。",热病所致发热、烦渴等，咽喉肿痛，扁桃体炎，口舌 生疮。,"天门冬味甘、苦,性大寒，能清肺降火、养阴润燥，用于 肺燥干咳，顿咳痰黏，咽干口渴，肠燥便秘。板蓝根味苦,性大寒，能 清热解毒、凉血消斑,用于温邪入营，高热神昏，发斑发疹，黄疸，热 痢，痄腮，喉痹，丹毒，痈肿等病证。两药合用，清热养阴，又可解毒。 注意:脾胃虚寒者忌用。",经验方。,用250 ml开水冲泡后饮用。可加冰糖。,天冬板蓝茶,306,内科-肺炎
清热解毒，凉血消炎。,"绿茶5 g,新鲜木芙蓉花10~15 g,蜂蜜25 g。",呼吸道疾病。,"《中华本草》称“芙蓉花具有清热解毒、凉血止血、消肿排 脓功能”。还适用于热疖、疮痈、乳痈及肺热咳嗽、肺痈等病证，又可用 于血热引起的崩漏。该茶日服1剂,温服。寒证患者及孕妇禁服。",经验方。,先将木芙蓉花加水煎汤后冲泡绿茶，加蜜饮服。,绿茶芙蓉花汤,307,内科-肺炎
清热化痰，解毒消痈。,"鲜鱼腥草、山海螺各30?60 g,金银花15 g,绿茶6g。","肺脓肿，大叶性肺炎，咳嗽，痰多带有腥臭味，咳而胸 痛,或咳脓血等。",鱼腥草出自《名医别录》，为三白草科植物蕺菜的带根,经验方。,先煎鱼腥草、山海螺、金银花三味，煮沸10?15分钟后 加入绿茶，少沸即可。,肺痈茶,308,内科-肺炎
清肺，化痰，排脓。,"冬瓜子32 g,红糖适量。",肺痈外溃之发热渐退，咳脓血，其气味腥臭，或胸痛， 苔黄腻，脉细数。,"冬瓜子，为冬瓜的种子。味甘性寒，能清肺化痰、排脓 利水。对痰热咳嗽、肺痈、肠痈、水肿、痔疮等病均有良效。《本草述 钩元》:“主腹内结聚，破溃脓血，凡肠胃内壅，最为妥药。”红糖色赤， 味甘，能益气补血、行血活血、缓中止痛。红糖中所含的钙是糖类中 含量最高的，还含有较多的铁和少量的B族维生素。本方能化痰排 脓,可治肺痈外溃，还适用于各种原因所致的化脓性肺炎、肺坏疽以 及支气管扩张继发感染等疾患。",经验方。,先将冬瓜子捣烂，煎汤，去渣，溶入红糖备用。不拘时， 代茶饮用。,冬瓜子茶,309,内科-肺炎
行气化痰，祛风解毒。,"细茶1~1. 5 g,紫苏10~15 g,甘草5g。",呼吸道疾病。,"紫苏，发表散寒、理气和营，治感冒风寒，恶寒发热，咳 嗽，气喘，胸腹胀满，胎动不安，并能解鱼蟹毒。《本草别录》载其“主 下气，除寒中”。日服1剂，分3次饭后饮服。伴水肿者可改用细茶 2 g,紫苏梗25 g,大蒜根15 g,姜皮25 g,冬瓜皮25 g。",经验方。,用细茶、紫苏、甘草，煎汤温服。,细茶紫苏汤,280,内科-哮喘
清肺止咳，润肠通便。,罗汉果15~20 g。,支气管炎咳嗽痰多，伴咽喉疼痛、大便秘结等症。,"罗汉果，清肺润肠、利咽化痰,可治百日咳、痰火咳嗽、 血燥便秘等。《广西中药志》载其“止咳清热，凉血润肠。治咳嗽，血 燥胃热便秘等”。我国岭南地区亦有以罗汉果和猪肉煮汤服，以治痰 火咳嗽。罗汉果被人们誉为“神仙果”。主要产于桂林市临桂县和永 福县的山区，是桂林名贵的土特产。注意:该茶外感及肺寒咳嗽者 慎服。",经验方。,"罗汉果去壳，掰碎，沸水冲泡，闷15分钟后，代茶饮。 购买罗汉果时，应挑选个大形圆，色黄褐,摇不响,壳不破、不焦，味甜 而不苦者，乃为上品。",罗汉果茶Ⅰ,281,内科-哮喘
"生津止渴,止咳。","罗汉果10 g,绿茶3 g,冰糖12 g。",咽喉肿痛，痰火咳嗽。,"罗汉果又称拉汗果、茶山子、红毛果，性凉，味甘，素有 良药佳果之称，营养价值很高，含丰富的维生素C以及糖苷、果糖、葡 萄糖、蛋白质、脂类等。现代医药学研究发现，罗汉果所含糖苷的甜 度是蔗糖甜度的300倍，且具有降血糖作用，可以用来辅助治疗糖尿 病;含丰富的维生素C,有抗衰老、抗癌及益肤美容作用;有降血脂及 减肥作用，可辅助治疗高脂血症，改善肥胖者的形象。常用量9? 15 g,常用方法为泡茶饮用。在果两头各钻一小洞，放入茶杯中，冲入 开水，不久果内各种营养成分溶解于水，便是一杯色泽红润、味道甘 甜、气味醇香的理想保健养生饮料。注意:脾胃虚寒泄泻者慎用。",经验方。,用开水冲泡后饮用。,罗汉果茶Ⅱ,282,内科-哮喘
补肾润肺止咳。,"扁柏叶粗末10 g,大枣7枚。",慢性支气管炎咳嗽痰多。,"此方是我国传统的茶方。扁柏叶具有凉血止血、祛风 湿、散肿毒功能。《医林纂要》载其“泄肺逆，泻心火，平肝热,清血分 之热”。《本草衍义补遗》载“柏叶，补阴之要药，其性多燥,久得之，大 益脾土，以滋其肺”。现代研究认为,此药可治疗慢性支气管炎、肺结核、百日咳等病。此茶苦寒，不宜久服。",经验方。,煎水代茶饮。,扁柏叶茶,283,内科-哮喘
理脾和胃，行气化痰。,橘皮10g。,慢性支气管炎，咳嗽痰多，白色质黏，难以咯出，胸闷 胀满，脾胃气滞，胃脘胀痛等。,"橘皮，又名陈皮，《日华子本草》言其有“消痰止咳”之 功。《本草正言》则称其为“气实痰滞必用”之药。橘皮中含有大量的 维生素C和香精油，其味清香,而且提神、通气。橘皮还具有理气化痰、健胃除湿、降低血压等功能。本茶不宜用于脾胃气虚之人。",经验方。,切丝后用沸水冲泡，代茶长期饮用。,橘皮茶,284,内科-哮喘
宣肺止咳化痰。,桔梗、甘草各100 g。,支气管炎及咳嗽。,"《本草衍义》云，桔梗“主治肺痈。李杲言桔梗能利胸 膈、治咽喉气壅及痛，破滞气及结块，（除）肺部风热”。《本草正》称 “甘草，味至甘，得中和之性，有调补之功，故毒药得之解其毒，刚药得 之和其性，表药得之助其外,下药得之缓其速”。两药共奏宣肺止咳 化痰之功。每次1包，沸水冲泡代茶饮。高血压患者不宜长期服用。",经验方。,共制粗末，和匀过筛后分包，每包10 g。,桔梗甘草茶,285,内科-哮喘
清热泻火，生津止渴。,"绿茶1~3 g,生石膏粉50~100g。","肺热喘咳,心烦口渴等。","石膏之质，凉而能散，有透表解肌之力，用于外感有实 热者有效。《神农本草经》谓“其微寒，则性非大寒可知;且谓其宜于 产乳,其性尤纯良可知”。此茶日服1剂。热病伤津者宜加党参15 g 同煎;流脑、肺炎、流感等有高热者，生石膏改量,小儿为50 g左右，成 人为100~200 g,须打碎后煎汤。胃寒、大便溏烂者忌服。",经验方。,将生石膏煎汤泡茶，冷却饮服。,绿茶生石膏汤,286,内科-哮喘
消炎止咳。,"绿茶0. 5~1. 5 g,柑果连皮100 g,冰糖25g。",呼吸道疾病。,"柑果,《开宝本草》称其“利肠胃中热毒，止暴渴，利小便”，“山柑皮，疗咽喉痛效”。本品味苦,对于热毒所致的呼吸道疾病 出现的咳嗽等症状有效。日服1剂,先饮汤，后食果。《本草衍义》称 “脾肾冷人食其肉，多致脏寒或泄利”。",经验方。,柑果连皮切开，加水煎汤后泡茶，加冰糖饮。,绿茶柑果汤,287,内科-哮喘
润肺补肾。,"雪梨1个（去皮），枸杞5 g,绿茶3g。",肺肾阴虚咳喘。,此方用雪梨生津润燥、清热化痰，加用枸杞，能滋补肝 肾、益精明目。所以对于肺肾阴虚的慢性咳喘，伴有咽干、痰少痰黏 者有润肺补肾的效果。注意:脾胃虚寒、腹部冷痛和血虚者，不可以 多吃。,经验方。,"用水煮梨子块、梨皮后,泡枸杞、绿茶饮用。可加适量 冰糖。",梨杞茶,288,内科-哮喘
润肺止咳。,"鲜橘2个，杏仁3 g,绿茶3g。",咳嗽气喘多痰。,"橘亦可称为“柑子”，多汁，味酸甜可食，其种子、树叶、 果皮均可入药。橘含丰富的维生素，特别是维生素C,可润肺生津、 理气和胃。橘子不宜食用过量，吃太多会得胡萝卜素血症，皮肤呈深 黄色，如同黄疸一般。加入味苦，性微温的杏仁,降气止咳平喘、润肠 通便。合用则可润肺止咳。但要注意，脾、胃、肾、肺虚寒的老人不可 多饮此茶,以免诱发腹痛、腰膝酸软等。",经验方。,将橘去皮后，与杏仁同煮，用其煮液泡茶饮用。可加 冰糖。,橘杏茶,289,内科-哮喘
清热生津，祛暑解毒。,"鲜竹心、鲜荷梗、泡参、绿豆各30 g,丝瓜花、扁豆花各 20朵,南瓜花5朵。","身热息高，心烦溺黄,口渴身汗，肢倦神疲,脉虚无力等。","方中鲜竹心清心除烦、消暑止渴，治高热烦躁，神昏谵 语,血热吐衄,夏月感受暑热,心烦口渴,小便短赤,湿温胸闷，湿热泄 泻。鲜荷梗，能助诸药升清除眩、和营舒筋,又可助诸药行气化饮、宽 胸和中、清解暑湿。泡参即是沙参，《本草备要》认为其“似人参而体 轻松，向实者良,生沙地者长大，生黄土者瘦小”，能清肺养阴、益胃生津。绿豆、丝瓜花、扁豆花、南瓜花都具有清热的作用。上七味合用, 共奏清热生津、祛暑解毒之功。脾胃虚寒者禁用。",《百病饮食自疗》。,"先将各味洗净;绿豆淘净与泡参先入锅，加水共煮，待 绿豆开花后,再入其他各味，约0.5小时即可，去渣取汁。每日分数 次代茶饮之。",二鲜三花茶,320,内科-肺炎
清火降逆。,"竹茹、芦根各30 g,生姜3片。",胃火上逆引起的呕吐，呕声洪亮、冲逆而出，口臭烦 渴舌红及热病后呕逆等;妊娠呕吐见上述症状者亦可服用。,"竹茹为淡竹茎秆除去外皮后刮下的中间层。其味酸 甘,性微寒,能清热化痰、除烦止呕、和胃消食，主治烦渴、吐泻、腹痛。 《开宝本草》称竹茹“至去痰，消食下酒”。芦根味甘，性寒，归肺、胃 经，有清热生津、除烦止呕之功。《药性论》谓其能“解大热，开胃，治 噎啰不止”。与竹茹相伍，相辅相成,共奏清热除烦、生津止逆之功。 配合生姜和胃止呕作用，效力更强。又因生姜微温，可监制两味寒凉 之性，药性和平，故妊娠呕吐亦可用之。《备急千金要方》中称此方适 用于胃热呃逆和病后啰逆患者。沸水冲泡代茶饮，每日1剂。胃虚 或寒湿伤胃，舌苔白腻者忌用。",《备急千金要方》。,将前两味药切碎，置保温瓶中，加生姜2片，以沸水适 量冲泡，频频饮用。,竹茹芦根茶,321,内科-呕吐呃逆
温中散寒，下气止痛。,"细茶叶3 g,川椒1 g,生姜3片，吴萸（吴茱萸）1g。",胃寒呕吐、疼痛。,"此茶中以川椒为主料，故名。川椒又名蜀椒,气味雄 烈,辛温芳香而麻，是川茶中最主要的调味品之一。其入药善于温中暖胃、降逆止痛。生姜、吴萸均为辛温之品，能助川椒温中散寒;茶叶 性偏凉，消食下气，并可制约其他药物的过于温燥。素体胃寒呕吐、 疼痛者，每日饭后服1剂，有一定的辅助治疗作用。",《医学入门》。,以上四味同时放在一起煎煮，水开即成。,川椒茶,322,内科-呕吐呃逆
和胃降逆，止呕吐。,小麦面适量（或150 g），米醋适量，茶叶适量（或5 g）。,呕啰不止。,"小麦面，主要成分是淀粉，其次还有蛋白质、脂肪、维生 素、无机盐等。小麦味甘，性凉，入心、脾、肾经，具有养心益肾、健脾 厚肠、除热止渴的功效。米醋,用谷子、高粱、糯米、大麦、玉米、红薯、 大枣、苹果、葡萄、柿子等粮食和果品为原料,经过发酵酿造而成。适 量米醋可以醒脾开胃，增进食欲，促进唾液分泌和提高胃液酸度，促 进脂肪、蛋白质和淀粉的分解，有助于消化吸收。茶叶，其性微寒，味 苦、甘，具有清利头目、除烦渴、消食、化痰、利尿、解毒等作用。其对 肠黏膜起收敛及保护作用,可减轻炎症和肠蠕动，可用于止呕吐。三 药合用可以理气和胃、降逆止呕。",《本草纲目》。,"将小麦面用醋拌作弹丸大小，煮（或隔水蒸）熟。用时 以沸水冲泡茶叶，以茶汤送服醋麦丸。每次1丸,呕啰未止再服，茶 汤送下。",醋面茶,323,内科-呕吐呃逆
温经止血。,"干姜5g,当归3g,阿胶3g,蒲黄3g,柏叶3g,红茶 3 g。",呕吐，便血，尿血，月经过多。,"干姜具温中回阳、温肺化饮之功，能祛脾胃寒邪，助脾 胃阳气，凡脾胃寒证，无论是外寒内侵之实证，还是阳气不足之虚证, 均适用。当归具补血活血、止痛、润肠之功。既补血，又活血，善止痛,故为妇科调经要药。阿胶补血止血、滋阴润燥。蒲黄，止血祛瘀。 柏叶，即侧柏叶，能凉血止血、祛风湿、散肿毒。诸药合用，共奏温经 止血之功，可用于各种虚寒性出血病证。但血热妄行之出血忌用本 茶。另外,本茶因有阿胶，性质黏腻，有碍消化，脾胃虚弱、不思饮食 或纳食不消者均忌服。",《观聚方要补》。,将上药的煎煮液350 ml泡茶饮用，冲饮至味淡。,断红茶,324,内科-呕吐呃逆
温中理气，消食导滞。,"神曲15 g,丁香1. 5 。",胃寒食滞，消化不良，呕吐，呃逆等。,此方是我国传统的茶方。神曲是辣蓼、青蒿、杏仁等药 物混合面粉或麸皮，经发酵后制成的曲剂。《药性论》言其有“化水谷 宿食，癥瘕积滞，健脾暖胃”之功。丁香，《本草正》则称其能“温中快 气，治上焦呃逆，除胃寒泻痢”。丁香为芳香健胃之药，可缓解腹部气 胀、增强消化能力、减轻呕恶。现代研究表明，丁香浸出液有刺激胃 酸和胃蛋白酶分泌的作用。胃热引起的呃逆或兼有口渴、口苦、口干 者不宜饮用本茶，热性病及阴虚内热者忌食。,经验方。,沸水冲泡代茶饮。,神曲丁香茶,325,内科-呕吐呃逆
润肺燥，祛热痰。,"绿茶5 g,甘蔗切片250~500 g。","心烦口渴,反胃呕吐等。","中医认为，甘蔗入肺、胃二经，具有清热、生津、下气、润 燥、补肺益胃的特殊效果，可治疗因热病引起的伤津、心烦口渴、反胃 呕吐，肺燥引发的咳嗽气喘。《本草汇言》称其:“多食久食,善发湿 火，为痰、胀、呕、嗽之疾。 ”故而本茶不宜久食、过食。腹泻者慎用。",经验方。,"甘蔗加水煎汤后,泡茶叶温服。",绿茶甘蔗汤,326,内科-呕吐呃逆
清肺除胃热，生津止渴。,"绿茶1~2 g,芦根40~50 g,甘草5 g。",热病烦渴，胃热呕吐等病证。,"芦根，味甘性寒,《本草纲目》称:“盖芦根甘能益胃，寒 能降火故也。”该茶日服1剂。注意:脾胃虚寒者慎服。",经验方。,芦根、甘草煎汤去渣后泡茶饮。,绿茶芦根汤,327,内科-呕吐呃逆
温中散寒，健胃止呕。,"绿茶0.5~1g,吴茱萸3~5 g,甘草5 g。","头痛，脘腹胀痛,呕吐吞酸等。",吴茱萸有温中、散寒、下气、开郁的功效。临床实践证 明吴茱萸有明显的止痛、止呕作用，对于寒邪引起的腹痛及呕吐等病 证有效。该茶日服1剂。呕吐吞酸属胃火者不宜用；咳逆上气，非风 寒外邪及冷痰宿水所致者不宜用；腹痛属血虚有火者不宜用；孕妇 慎用。,经验方。,先将吴茱萸、甘草用文火煎汤，泡茶温服;或先将吴茱 萸用醋浸透，然后加甘草、绿茶用开水冲泡后温服。,绿茶吴茱萸汤,328,内科-呕吐呃逆
理气止呕，泄痰瘀。,棉花壳30 g。,食道痉挛引起的呃逆、恶心、呕吐等。,《百草镜》称其“治膈食、膈气，棉花壳八、九月采，不拘多少，煎当茶饮之”。本茶无瘀血者不宜饮用。,经验方。,制成粗末，煎水代茶频饮。,棉壳茶,329,内科-呕吐呃逆
温中和胃，降逆止呃。,生姜3片，红茶1~3 g。,呕吐，恶心等。,"红茶，性温，味甘，入心、肺、胃经。温中暖胃、散寒除 湿，可驱寒暖身，故红茶对脾胃虚弱、胃病患者较为适宜。《名医别 录》载生姜:“味辛,微温。主治伤寒头痛、鼻塞、咳逆上气，止呕吐。 又，生姜，微温，辛，归五藏。去淡，下气，止呕吐，除风邪寒热。”生姜 是助阳之品，服用少许具有温暖、兴奋、发汗、止呕、解毒、温肺止咳等 作用，民间素有“男子不可百日无姜”之谚语。适用于外感风寒、胃寒 呕吐等病证。传说白娘子盗仙草救许仙,此仙草就是生姜芽。生姜 还有个别名叫“还魂草”，而姜汤也叫“还魂汤”。每日1~2剂，温服。 阴虚内热者及热盛之证忌用。",经验方。,"将生姜（鲜者为佳）切成碎块或细丝状,与红茶共置杯中，以开水冲泡浓汁，过3?5分钟即可服用。",生姜和胃茶,330,内科-呕吐呃逆
